Process Name,Normal Max CPU (%),Last Updated
audioaccessoryd,2,26/12/25 19:19
neagent,2,26/12/25 19:19
CommCenter,2,26/12/25 19:19
CoreLocationAgent,2,26/12/25 19:19
syncdefaultsd,2,26/12/25 19:19
python3.12,2.55,26/12/25 19:19
deleted,2,26/12/25 19:19
pkd,2,26/12/25 19:19
triald,11.63,26/12/25 19:19
TrialArchivingService,2,26/12/25 19:19
com.apple.geod,20.31,26/12/25 19:19
AudioComponentRegistrar,2,26/12/25 19:19
CarbonComponentScannerXPC,65.34,26/12/25 19:19
photolibraryd,2,26/12/25 19:19
com.apple.audio.SandboxHelper,2,26/12/25 19:19
VTDecoderXPCService,2.6,26/12/25 19:19
